event_id,p_sec,s_sec,latitude,longitude,depth,distance,mrr,mrt,mrp,mtt,mtp,mpp,time_p,time_s
S1094b ,81913,82247,34.8,-170.1,30,59.7,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2021-12-24T22:45:13,2021-12-24T22:50:47
S0185a,8028,8387,15.6,78.5,30,59.8,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-06-05T02:13:48,2019-06-05T02:19:47
S0234c,46441,46799,17.7,-165.2,30,60,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-07-25T12:54:01,2019-07-25T12:59:59
S0167b,70298,70649,-23.5,-136.3,30,60.3,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-05-17T19:31:38,2019-05-17T19:37:29
S1102a,16532,16929,-20,65.2,30,73.3,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2022-01-02T04:35:32,2022-01-02T04:42:09
S1153a,76190,76660,-64.7,-142.2,30,84.8,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2022-02-23T21:09:50,2022-02-23T21:17:40
S1415a,78963,79409,-56.3,-134.8,30,88.2,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2022-11-19T21:56:03,2022-11-19T22:03:29
S0133a,65545,65885,-34,-140.7,30,88.5,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-04-12T18:12:25,2019-04-12T18:18:05
S0254b,10932,11194,-42.3,-114.1,30,89.5,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-08-15T03:02:12,2019-08-15T03:06:34
S0395a,81166,81367,-50.7,-124.4,30,90.6,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2020-01-06T22:32:46,2020-01-06T22:36:07
S0345a,43621,43840,-66,57.8,30,91.5,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-11-16T12:07:01,2019-11-16T12:10:40
S0421b,60938,61272,-7.4,-142.2,30,93.7,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2020-02-02T16:55:38,2020-02-02T17:01:12
S0226b,20640,20957,-38.1,-122.9,30,94.1,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-07-17T05:44:00,2019-07-17T05:49:17
S0167a,60403,60728,-13,-143.7,30,95.3,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-05-17T16:46:43,2019-05-17T16:52:08
S0152a,26965,27279,-43.7,-112.6,30,98,-2.90E+25,-1.10E+25,-1.60E+25,-1.80E+25,-4.60E+25,2.50E+25,2019-05-02T07:29:25,2019-05-02T07:34:39
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
